"Compound";"Code";"site";"Rainfallevent";"conc_water"
"153";"Alachlor";"CH36";"N";"Sampling_2";0.000582083567947588
"154";"Alachlor";"CH74";"G";"Sampling_4";0.0158155347694872
"155";"Alachlor";"CH54";"I";"Sampling_3";0.00584282697041232
"156";"Alachlor";"CH32";"I";"Sampling_2";0.000835927089855315
"157";"Alachlor";"CH82";"M";"Sampling_4";0.013794538004481
"158";"Alachlor";"CH61";"P";"Sampling_3";0.00182192929780087
"159";"Alachlor";"CH35";"M";"Sampling_2";0.000589177671440858
"160";"Alachlor";"CH42";"T";"Sampling_2";0.0123842157864217
"174";"Atrazin";"RO9";"H";"Sampling_1";0.00610562295346024
"175";"Atrazin";"CH53";"H";"Sampling_3";0.00222451034875229
"176";"Atrazin";"CH50";"F";"Sampling_3";0.0216750616413751
"177";"Atrazin";"CH58";"M";"Sampling_3";0.0254486606470939
"178";"Atrazin";"CH35";"M";"Sampling_2";0.0248670484886117
"179";"Atrazin";"CH87";"Q";"Sampling_4";0.017482723786862
"180";"Atrazin";"CH46";"C";"Sampling_3";0.0563970844694596
"181";"Atrazin";"CH23";"C";"Sampling_2";0.592665818695958
"182";"Atrazin";"CH41";"S";"Sampling_2";0.00310148467316158
"183";"Atrazin";"CH74";"G";"Sampling_4";0.0256173999557425
"184";"Atrazin";"RO2";"B";"Sampling_1";0.00462432971757282
"185";"Atrazin";"CH62";"Q";"Sampling_3";0.0575007540820609
"186";"Atrazin";"CH76";"H";"Sampling_4";0.015113611478452
"187";"Atrazin";"CH85";"P";"Sampling_4";0.285888119941968
"188";"Atrazin";"CH21";"A";"Sampling_2";0.00382043368479722
"189";"Atrazin";"CH30";"H";"Sampling_2";0.00412229138812306
"190";"Atrazin";"RO1";"A";"Sampling_1";0.00434892737404061
"191";"Atrazin";"RO6";"E";"Sampling_1";0.0149606431742847
"192";"Atrazin";"CH88";"R";"Sampling_4";0.00117898126775202
"193";"Atrazin";"CH93";"T";"Sampling_4";0.0135503125462914
"194";"Atrazin";"CH28";"F";"Sampling_2";0.0110854478115481
"195";"Atrazin";"CH84";"O";"Sampling_4";0.006745661730956
"196";"Atrazin";"CH43";"A";"Sampling_3";0.0032697202278238
"197";"Atrazin";"CH66";"T";"Sampling_3";0.0897506306466088
"198";"Atrazin";"CH72";"F";"Sampling_4";0.014498519879453
"199";"Atrazin";"CH29";"G";"Sampling_2";0.0213219199359429
"200";"Atrazin";"CH33";"K";"Sampling_2";0.038261268825067
"201";"Atrazin";"CH39";"Q";"Sampling_2";0.00530334300699186
"202";"Atrazin";"CH69";"C";"Sampling_4";0.0143329391098037
"203";"Atrazin";"RO16";"P";"Sampling_1";0.0478255276806044
"204";"Atrazin";"CH65";"S";"Sampling_3";0.00425562573549636
"205";"Atrazin";"CH67";"A";"Sampling_4";0.00318771336401441
"206";"Atrazin";"RO10";"I";"Sampling_1";0.0189152094500952
"207";"Atrazin";"CH37";"O";"Sampling_2";0.00617447030330794
"208";"Atrazin";"RO7";"F";"Sampling_1";0.0359182161082413
"209";"Atrazin";"CH25";"D";"Sampling_2";0.0102408679695517
"210";"Atrazin";"CH60";"N";"Sampling_3";0.00658374938043963
"211";"Atrazin";"CH70";"D";"Sampling_4";0.132508180250844
"212";"Atrazin";"CH71";"E";"Sampling_4";0.00743236493516519
"213";"Atrazin";"CH77";"I";"Sampling_4";0.00829470390007827
"214";"Atrazin";"RO17";"Q";"Sampling_1";0.00892216908604927
"215";"Atrazin";"CH38";"P";"Sampling_2";0.0338466213869415
"216";"Atrazin";"CH27";"E";"Sampling_2";0.0107609749265303
"217";"Atrazin";"CH83";"N";"Sampling_4";0.00718781559133927
"218";"Atrazin";"CH80";"L";"Sampling_4";0.000417146806486866
"219";"Atrazin";"CH63";"R";"Sampling_3";0.00145568371594826
"220";"Atrazin";"CH78";"K";"Sampling_4";0.00222586661957991
"221";"Atrazin";"CH82";"M";"Sampling_4";0.0424533463199603
"222";"Atrazin";"CH36";"N";"Sampling_2";0.0102365133998108
"223";"Atrazin";"CH32";"I";"Sampling_2";0.00987880453641661
"224";"Atrazin";"CH47";"D";"Sampling_3";0.00796366281643851
"225";"Atrazin";"CH54";"I";"Sampling_3";0.00939037946174484
"226";"Atrazin";"RO11";"K";"Sampling_1";0.0116417706006051
"227";"Atrazin";"CH51";"G";"Sampling_3";0.0942531620821587
"228";"Atrazin";"RO13";"M";"Sampling_1";0.0546858513857528
"229";"Atrazin";"RO4";"D";"Sampling_1";0.022235914885859
"230";"Atrazin";"CH42";"T";"Sampling_2";0.00813077603534647
"231";"Atrazin";"RO14";"N";"Sampling_1";0.00732494003317846
"232";"Atrazin";"RO3";"C";"Sampling_1";0.0129077311399847
"233";"Atrazin";"CH61";"P";"Sampling_3";0.0312045857645812
"234";"Atrazin";"CH56";"K";"Sampling_3";0.00607943028691561
"235";"Atrazin";"CH90";"S";"Sampling_4";0.00331633388320193
"236";"Atrazin";"CH49";"E";"Sampling_3";0.00927176039634601
"237";"Azoxystrobin";"CH36";"N";"Sampling_2";0.000393978333762787
"238";"Azoxystrobin";"CH32";"I";"Sampling_2";0.000528070827169427
"239";"Azoxystrobin";"CH53";"H";"Sampling_3";0.000203847514241032
"240";"Azoxystrobin";"CH88";"R";"Sampling_4";0.00350633514890127
"241";"Azoxystrobin";"CH71";"E";"Sampling_4";0.000817295788881587
"242";"Azoxystrobin";"CH44";"B";"Sampling_3";0.000798737697860332
"243";"Azoxystrobin";"CH80";"L";"Sampling_4";0.000735852291159187
"244";"Azoxystrobin";"CH29";"G";"Sampling_2";0.00041031424279392
"245";"Azoxystrobin";"CH90";"S";"Sampling_4";0.000480356446927991
"246";"Azoxystrobin";"CH61";"P";"Sampling_3";0.000250205852673328
"247";"Azoxystrobin";"CH70";"D";"Sampling_4";0.00032691765218772
"248";"Azoxystrobin";"CH51";"G";"Sampling_3";0.000351509050682044
"249";"Azoxystrobin";"CH49";"E";"Sampling_3";0.000559760553929097
"250";"Azoxystrobin";"CH66";"T";"Sampling_3";0.000264695938222608
"251";"Azoxystrobin";"CH37";"O";"Sampling_2";0.000264044713376512
"252";"Azoxystrobin";"CH57";"L";"Sampling_3";0.000311010688519858
"253";"Azoxystrobin";"CH84";"O";"Sampling_4";0.000266281027041439
"254";"Azoxystrobin";"CH82";"M";"Sampling_4";0.00040848133520984
"255";"Azoxystrobin";"CH25";"D";"Sampling_2";0.000328454942073935
"256";"Azoxystrobin";"CH43";"A";"Sampling_3";0.000254229342898843
"257";"Azoxystrobin";"CH76";"H";"Sampling_4";0.000710949428269373
"258";"Azoxystrobin";"CH40";"R";"Sampling_2";0.000200873383802968
"259";"Azoxystrobin";"CH77";"I";"Sampling_4";0.00117470309527833
"260";"Azoxystrobin";"CH62";"Q";"Sampling_3";0.000129418901624109
"261";"Azoxystrobin";"CH87";"Q";"Sampling_4";0.000531210968815622
"262";"Azoxystrobin";"CH85";"P";"Sampling_4";0.000794670764240297
"263";"Azoxystrobin";"CH58";"M";"Sampling_3";7.09751181209552e-05
"264";"Azoxystrobin";"CH68";"B";"Sampling_4";0.000527342541544664
"265";"Azoxystrobin";"CH60";"N";"Sampling_3";0.000909613713012938
"266";"Azoxystrobin";"CH69";"C";"Sampling_4";0.000459699773403667
"267";"Azoxystrobin";"CH65";"S";"Sampling_3";0.000129990963061102
"268";"Azoxystrobin";"CH46";"C";"Sampling_3";0.000334966925467621
"269";"Azoxystrobin";"RO16";"P";"Sampling_1";0.000927478170518677
"270";"Azoxystrobin";"CH21";"A";"Sampling_2";0.000476515722136162
"271";"Azoxystrobin";"CH30";"H";"Sampling_2";0.000240389243838516
"272";"Azoxystrobin";"RO19";"S";"Sampling_1";0.000692226133229431
"273";"Azoxystrobin";"CH83";"N";"Sampling_4";0.000467751194442058
"274";"Azoxystrobin";"CH50";"F";"Sampling_3";0.000379190929573937
"275";"Azoxystrobin";"CH22";"B";"Sampling_2";0.00261005962931495
"276";"Azoxystrobin";"CH34";"L";"Sampling_2";0.000202205148324649
"277";"Azoxystrobin";"RO17";"Q";"Sampling_1";0.000715400915978327
"278";"Azoxystrobin";"CH63";"R";"Sampling_3";0.000133394527556879
"279";"Azoxystrobin";"CH35";"M";"Sampling_2";0.00146219303133893
"280";"Azoxystrobin";"CH54";"I";"Sampling_3";0.000256321071265742
"281";"Azoxystrobin";"CH67";"A";"Sampling_4";0.000702895882813927
"282";"Azoxystrobin";"CH38";"P";"Sampling_2";0.00032895797327418
"283";"Azoxystrobin";"CH42";"T";"Sampling_2";0.000717139635431957
"284";"Azoxystrobin";"CH33";"K";"Sampling_2";0.00090421735130101
"285";"Azoxystrobin";"CH27";"E";"Sampling_2";0.000104192093995965
"286";"Azoxystrobin";"CH56";"K";"Sampling_3";0.000205247705737069
"287";"Azoxystrobin";"CH72";"F";"Sampling_4";0.000730730689381649
"288";"Azoxystrobin";"CH93";"T";"Sampling_4";0.000534890613473978
"289";"Azoxystrobin";"CH74";"G";"Sampling_4";0.00124887125761403
"290";"Azoxystrobin";"CH41";"S";"Sampling_2";0.000205807845186686
"291";"Azoxystrobin";"CH78";"K";"Sampling_4";0.000203971798867085
"292";"Azoxystrobin";"CH28";"F";"Sampling_2";0.000193932609279427
"293";"Azoxystrobin";"CH39";"Q";"Sampling_2";0.000188993227412058
