"Compound";"Code";"site";"Rainfallevent";"conc_water"
"554";"Dimethoat";"CH85";"P";"B";0.00202674426847144
"555";"Dimethomorph";"CH38";"P";"2";6.64706898915916e-05
"556";"Dimethomorph";"CH46";"C";"3";0.000203054655340662
"557";"Dimethomorph";"CH51";"G";"3";0.000426164756725488
"558";"Dimethomorph";"CH82";"M";"B";0.00178835646094181
"559";"Dimethomorph";"CH57";"L";"3";6.28441828832949e-05
"560";"Dimethomorph";"CH78";"K";"B";0.000137384785607483
"561";"Dimethomorph";"CH21";"A";"2";6.87763252675924e-05
"562";"Dimethomorph";"CH34";"L";"2";6.80974308783179e-05
"563";"Dimethomorph";"CH90";"S";"B";0.000554645308873146
"564";"Dimethomorph";"CH33";"K";"2";6.52536147066876e-05
"565";"Dimethomorph";"CH56";"K";"3";6.91220850432426e-05
"566";"Dimethomorph";"CH93";"T";"B";0.000675514636257268
"567";"Dimethomorph";"CH87";"Q";"B";5.96326759279293e-05
"568";"Dimethomorph";"CH44";"B";"3";0.00256767063829465
"569";"Dimethomorph";"CH22";"B";"2";0.000146500024586983
"570";"Dimethomorph";"CH69";"C";"B";0.000265397003056495
"571";"Dimethomorph";"CH42";"T";"2";0.000197602333582453
"572";"Dimethomorph";"CH27";"E";"2";0.000131584444923684
"573";"Dimethomorph";"CH40";"R";"2";0.000270595709054757
"574";"Dimethomorph";"CH36";"N";"2";6.63408240865116e-05
"575";"Dimethomorph";"CH23";"C";"2";0.000166997837510121
"576";"Dimethomorph";"CH65";"S";"3";6.56663593662369e-05
"577";"Dimethomorph";"CH53";"H";"3";6.86505369893131e-05
"578";"Dimethomorph";"CH25";"D";"2";6.63690452164896e-05
"579";"Dimethomorph";"CH29";"G";"2";6.90915786015391e-05
"580";"Dimethomorph";"CH63";"R";"3";6.73857072631495e-05
"581";"Dimethomorph";"CH30";"H";"2";6.0717630295662e-05
"582";"Dimethomorph";"CH70";"D";"B";0.00237810289245499
"583";"Dimethomorph";"CH77";"I";"B";0.00160570885049646
"584";"Dimethomorph";"CH74";"G";"B";0.000597676737084505
"585";"Dimethomorph";"CH61";"P";"3";6.319711406256e-05
"586";"Dimethomorph";"CH37";"O";"2";6.66925401140757e-05
"587";"Dimethomorph";"CH71";"E";"B";0.000756920859223475
"588";"Dimethomorph";"CH66";"T";"3";6.68570268056171e-05
"589";"Dimethomorph";"CH80";"L";"B";6.75861541737339e-05
"590";"Dimethomorph";"CH76";"H";"B";0.000783586677583566
"591";"Dimethomorph";"CH50";"F";"3";6.38508176868425e-05
"592";"Dimethomorph";"CH88";"R";"B";0.000208383955407382
"593";"Dimethomorph";"CH72";"F";"B";0.000335578740680337
"594";"Dimethomorph";"CH32";"I";"2";6.6690191166083e-05
"595";"Dimethomorph";"CH84";"O";"B";0.000269029557192689
"596";"Dimethomorph";"CH47";"D";"3";6.533028837051e-05
"597";"Dimethomorph";"CH68";"B";"B";0.0246413398460621
"598";"Dimethomorph";"CH39";"Q";"2";0.0015275519955858
"599";"Dimethomorph";"CH58";"M";"3";7.17077172679281e-05
"600";"Dimethomorph";"CH49";"E";"3";7.06922943513549e-05
"601";"Dimethomorph";"CH54";"I";"3";6.47416988957348e-05
"602";"Dimethomorph";"CH60";"N";"3";0.000262572190988664
"603";"Dimethomorph";"CH85";"P";"B";0.000432316385972716
"604";"Dimethomorph";"CH43";"A";"3";6.4213369140922e-05
"605";"Dimethomorph";"CH67";"A";"B";0.00051647353771986
"606";"Dimethomorph";"CH41";"S";"2";6.93107254318299e-05
"607";"Dimethomorph";"CH83";"N";"B";0.00148524917348199
"608";"Dimethomorph";"CH28";"F";"2";6.53114550688009e-05
"609";"Dimethomorph";"CH62";"Q";"3";6.53773762593102e-05
"610";"Dimethomorph";"CH35";"M";"2";0.000134298696681447
"637";"Diuron";"CH62";"Q";"3";0.000649566244535377
"638";"Diuron";"CH71";"E";"B";0.00468810086184221
"639";"Diuron";"CH50";"F";"3";0.00362513659516442
"640";"Diuron";"CH69";"C";"B";0.000565047807656338
"641";"Diuron";"CH28";"F";"2";0.00194673382544044
"642";"Diuron";"RO2";"B";"1";0.000725451672415761
"643";"Diuron";"CH49";"E";"3";0.000802712424157538
"644";"Diuron";"CH85";"P";"B";0.000350640089834158
"645";"Diuron";"CH87";"Q";"B";0.000592488955207712
"646";"Diuron";"CH46";"C";"3";0.00105677444369176
"647";"Diuron";"CH66";"T";"3";0.000379581442019457
"648";"Diuron";"CH72";"F";"B";0.00542996727339165
"649";"Diuron";"CH88";"R";"B";0.00473240800954114
"650";"Diuron";"CH39";"Q";"2";0.00180681079507786
"651";"Diuron";"RO8";"G";"1";0.00087850734214832
"652";"Diuron";"CH56";"K";"3";0.000294330999706165
"653";"Diuron";"CH93";"T";"B";0.00134233439917169
"654";"Diuron";"RO17";"Q";"1";0.0011968892758522
"655";"Diuron";"CH29";"G";"2";0.00205940769463801
"656";"Diuron";"CH74";"G";"B";0.00141388153549179
"657";"Diuron";"RO7";"F";"1";0.00180218781122948
"658";"Diuron";"CH77";"I";"B";0.000792732882268994
"659";"Diuron";"CH51";"G";"3";0.00695621973928633
"660";"Diuron";"CH40";"R";"2";0.000480096831042132
"661";"Diuron";"CH78";"K";"B";0.000390001750930695
"662";"Diuron";"CH42";"T";"2";0.0024307600114452
"663";"Epoxiconazol";"CH70";"D";"B";0.000126930889168262
"664";"Epoxiconazol";"CH41";"S";"2";0.000799081133010819
"665";"Epoxiconazol";"CH53";"H";"3";0.000197867460401839
"666";"Epoxiconazol";"CH37";"O";"2";0.000320373399316945
"667";"Epoxiconazol";"CH88";"R";"B";0.000133469552552217
"668";"Epoxiconazol";"CH36";"N";"2";0.000254947078515578
"669";"Epoxiconazol";"CH77";"I";"B";0.000134146129678448
"670";"Epoxiconazol";"CH62";"Q";"3";6.28111397010581e-05
"671";"Epoxiconazol";"CH49";"E";"3";0.000271669732274333
"672";"Epoxiconazol";"CH39";"Q";"2";0.000244598583600766
"673";"Epoxiconazol";"CH35";"M";"2";0.00012902711429517
"674";"Epoxiconazol";"CH29";"G";"2";0.000265518198741719
"675";"Epoxiconazol";"CH65";"S";"3";0.000441621456146713
"676";"Epoxiconazol";"RO19";"S";"1";0.000604727140125147
"677";"Epoxiconazol";"CH27";"E";"2";0.000252838808330449
"678";"Epoxiconazol";"CH74";"G";"B";0.000319009071954012
"679";"Epoxiconazol";"CH90";"S";"B";0.00133218499936385
"680";"Epoxiconazol";"CH61";"P";"3";0.000182149375848739
"681";"Epoxiconazol";"CH34";"L";"2";0.000130848849828906
"682";"Epoxiconazol";"CH33";"K";"2";0.000250768944479145
"683";"Epoxiconazol";"CH42";"T";"2";0.000379691828888133
"684";"Epoxiconazol";"CH54";"I";"3";0.000124400828742183
"685";"Epoxiconazol";"CH71";"E";"B";0.000330549861237776
"686";"Epoxiconazol";"CH63";"R";"3";6.47406383512912e-05
"687";"Epoxiconazol";"CH22";"B";"2";0.000140749507506139
"688";"Epoxiconazol";"CH72";"F";"B";0.000193443827521996
"691";"Fenamidone";"CH87";"Q";"B";0.00021571677750971
"692";"Fenamidone";"CH72";"F";"B";0.000242786235612897
"693";"Fenamidone";"CH41";"S";"2";6.26816007514265e-05
"694";"Fenamidone";"CH60";"N";"3";0.000118729425651203
"695";"Fenamidone";"CH54";"I";"3";0.000995342727215118
"696";"Fenamidone";"CH76";"H";"B";0.000708641656430764
"697";"Fenamidone";"CH77";"I";"B";0.000252544893242716
"698";"Fenamidone";"CH93";"T";"B";0.000549815409102041
"699";"Fenamidone";"CH88";"R";"B";0.000314088952670956
"700";"Fenamidone";"CH67";"A";"B";0.000233538084389794
"701";"Fenamidone";"CH68";"B";"B";0.00138525607968038
"702";"Fenamidone";"CH74";"G";"B";0.000420398848250327
"703";"Fenamidone";"CH85";"P";"B";0.0042447965882434
"704";"Fenamidone";"CH51";"G";"3";0.00012846828043311
"705";"Fenamidone";"CH90";"S";"B";0.000940494479556561
"706";"Fenamidone";"CH82";"M";"B";0.000124408590653606
"707";"Fenamidone";"CH53";"H";"3";6.20845550832889e-05
"708";"Fenamidone";"CH62";"Q";"3";5.91244511052245e-05
"709";"Fenamidone";"CH84";"O";"B";0.000851545142000396
"710";"Fenamidone";"CH83";"N";"B";0.00024421720940814
"711";"Fenamidone";"CH58";"M";"3";6.48493357497062e-05
"712";"Fenamidone";"CH70";"D";"B";0.000358442110082194
"713";"Fenamidone";"CH69";"C";"B";0.000120006744140732
"714";"Fenamidone";"CH49";"E";"3";0.000127862062996069
"715";"Fenamidone";"CH80";"L";"B";6.11219736317582e-05
"716";"Fenamidone";"CH71";"E";"B";0.000124459318532393
"717";"Fenamidone";"CH47";"D";"3";0.000118163733739693
"719";"Fluopicolide";"CH69";"C";"B";0.00188834441735651
"720";"Fluopicolide";"CH47";"D";"3";0.000450750075279468
"721";"Fluopicolide";"CH46";"C";"3";0.000291872344179682
"722";"Fluopicolide";"CH70";"D";"B";0.000398802090443567
"723";"Fluopyram";"CH25";"D";"2";0.00168854574937098
"724";"Fluopyram";"CH70";"D";"B";0.00274504979942702
"725";"Fluopyram";"CH47";"D";"3";0.00155131007758936
"726";"Fluopyram";"CH49";"E";"3";0.000719414737704287
"727";"Fluopyram";"CH71";"E";"B";0.000408490382325209
"736";"Imidacloprid";"CH93";"T";"B";0.00421349602498335
"737";"Imidacloprid";"RO15";"O";"1";0.000148996828451334
"738";"Imidacloprid";"CH41";"S";"2";0.021616146447529
"739";"Imidacloprid";"CH33";"K";"2";0.00685502080122038
"740";"Imidacloprid";"CH27";"E";"2";0.0539968953685678
"741";"Imidacloprid";"CH70";"D";"B";0.00227704526407204
"742";"Imidacloprid";"RO4";"D";"1";0.000262824305292852
"743";"Imidacloprid";"CH71";"E";"B";0.0214602915680536
"744";"Imidacloprid";"CH42";"T";"2";0.00345975241669532
"745";"Imidacloprid";"CH30";"H";"2";0.00508287252743866
"746";"Imidacloprid";"CH61";"P";"3";0.186721350648982
"747";"Imidacloprid";"CH46";"C";"3";0.00577722482029694
"748";"Imidacloprid";"CH74";"G";"B";0.272513536884129
"749";"Imidacloprid";"CH29";"G";"2";0.158773266547253
"750";"Imidacloprid";"CH51";"G";"3";0.12824581290099
"751";"Imidacloprid";"CH69";"C";"B";0.00239597858771726
"752";"Imidacloprid";"RO16";"P";"1";0.000315509963768903
"753";"Imidacloprid";"RO12";"L";"1";0.000285352114253152
"754";"Imidacloprid";"CH65";"S";"3";0.0183238230463575
"755";"Imidacloprid";"CH49";"E";"3";0.0533769971028802
"756";"Imidacloprid";"CH23";"C";"2";0.0685291089234824
"757";"Imidacloprid";"RO3";"C";"1";0.000228850408468148
"758";"Imidacloprid";"CH72";"F";"B";0.0649981021314508
"759";"Imidacloprid";"CH76";"H";"B";0.00643104097391196
"760";"Imidacloprid";"CH85";"P";"B";0.064879554551934
"761";"Imidacloprid";"CH40";"R";"2";0.00499686546450786
"762";"Imidacloprid";"RO13";"M";"1";0.000596655150216161
"763";"Imidacloprid";"CH66";"T";"3";0.0070234624015899
"764";"Imidacloprid";"RO9";"H";"1";0.000472367832003762
"765";"Imidacloprid";"CH67";"A";"B";0.00307312562742111
"766";"Imidacloprid";"RO17";"Q";"1";0.000237281287188255
"767";"Imidacloprid";"CH25";"D";"2";0.001851990352503
"768";"Imidacloprid";"CH50";"F";"3";0.0733649679240883
"769";"Imidacloprid";"CH77";"I";"B";0.0183350955051264
"770";"Imidacloprid";"RO18";"R";"1";0.00030716457809947
"771";"Imidacloprid";"RO11";"K";"1";0.000375282341001298
"772";"Imidacloprid";"RO8";"G";"1";0.000301021784643982
"773";"Imidacloprid";"RO7";"F";"1";0.000694712480839897
"774";"Imidacloprid";"CH84";"O";"B";0.0585113480197589
"775";"Imidacloprid";"CH37";"O";"2";0.0056925234848117
"776";"Imidacloprid";"RO19";"S";"1";0.000497455332504032
"777";"Imidacloprid";"CH62";"Q";"3";0.00761921212389186
"778";"Imidacloprid";"RO10";"I";"1";0.000260836561457602
"779";"Imidacloprid";"RO2";"B";"1";0.000305071825134735
"780";"Imidacloprid";"CH88";"R";"B";0.00695499922990592
"781";"Imidacloprid";"CH54";"I";"3";0.00541974054478782
"782";"Imidacloprid";"RO6";"E";"1";0.00344822342792411
"783";"Imidacloprid";"CH38";"P";"2";0.0109107452305155
"784";"Imidacloprid";"CH32";"I";"2";0.00372190349411506
"785";"Imidacloprid";"CH87";"Q";"B";0.00323014833640423
"786";"Imidacloprid";"CH21";"A";"2";0.00203205613691885
"787";"Imidacloprid";"CH28";"F";"2";0.0364495780527819
"788";"Imidacloprid";"CH44";"B";"3";0.00144502960667749
"789";"Imidacloprid";"CH47";"D";"3";0.00171576888017084
"790";"Imidacloprid";"CH39";"Q";"2";0.00595502850335806
"791";"Imidacloprid";"CH63";"R";"3";0.0101760644052197
"792";"Imidacloprid";"CH90";"S";"B";0.0614530363095748
"793";"Imidacloprid";"CH53";"H";"3";0.0045074213627094
"794";"Imidacloprid";"RO14";"N";"1";0.000343771166013843
"795";"Iprovalicarb";"CH85";"P";"B";0.00302416727471015
"796";"Iprovalicarb";"CH69";"C";"B";0.00926895967957137
"797";"Iprovalicarb";"CH88";"R";"B";0.00090034460723879
"798";"Irgarol";"CH47";"D";"3";0.000690749550399499
"799";"Irgarol";"CH70";"D";"B";7.76053508465275e-05
"800";"Isoproturon";"CH88";"R";"B";0.00449267529614287
"801";"Isoproturon";"CH51";"G";"3";0.0017500843537405
"802";"Isoproturon";"CH63";"R";"3";0.0269807400386152
"803";"Lenacil";"CH74";"G";"B";0.00355517246472855
"804";"Lenacil";"CH58";"M";"3";0.00895734936387879
"805";"Lenacil";"CH93";"T";"B";0.00646561239399708
"806";"Lenacil";"CH82";"M";"B";0.0189693544764994
"807";"Lenacil";"CH29";"G";"2";0.00526800118757581
"808";"Lenacil";"CH61";"P";"3";0.00246054537806575
"809";"Lenacil";"RO16";"P";"1";0.0389781976786704
"810";"Lenacil";"CH35";"M";"2";0.0017429489848364
"867";"Mandipropamid";"CH68";"B";"B";0.0065877585401924
"868";"Mandipropamid";"RO4";"D";"1";0.000999777779505222
"869";"Mandipropamid";"RO1";"A";"1";0.00103148506514331
"870";"Mandipropamid";"RO11";"K";"1";0.000683728802846805
"871";"MCPA";"CH23";"C";"2";0.0068069427374495
"872";"MCPA";"CH71";"E";"B";0.00747941740365607
"873";"Metalaxyl";"CH29";"G";"2";0.0111836173038841
"874";"Metalaxyl";"CH56";"K";"3";0.0074016596448961
"875";"Metalaxyl";"CH74";"G";"B";0.0206717708072393
"876";"Metalaxyl";"CH77";"I";"B";0.00869266203122539
"877";"Metalaxyl";"CH78";"K";"B";0.00273698522223888
"878";"Metalaxyl";"CH68";"B";"B";0.00190723522819981
"879";"Metalaxyl";"CH32";"I";"2";0.0141164246144814
"880";"Metalaxyl";"CH33";"K";"2";0.0414370261978424
"881";"Metalaxyl";"RO11";"K";"1";0.0193578287094322
"882";"Metalaxyl";"CH70";"D";"B";0.00608658497561947
"883";"Metalaxyl";"CH61";"P";"3";0.00314753861776873
"884";"Metalaxyl";"CH93";"T";"B";0.00285974632010178
"885";"Metalaxyl";"CH51";"G";"3";0.00477566517198032
"886";"Metalaxyl";"CH54";"I";"3";0.014510100692834
"887";"Metalaxyl";"CH76";"H";"B";0.00308960688107368
"888";"Metamitron";"CH49";"E";"3";0.000263064868808996
"889";"Metamitron";"CH61";"P";"3";0.00052913993686535
"890";"Metamitron";"CH85";"P";"B";0.000459646999126523
"891";"Metamitron";"CH44";"B";"3";6.82499057363919e-05
"892";"Methidathion";"CH33";"K";"2";0.00107806722093699
"893";"Metolachlor";"CH56";"K";"3";0.021348742263018
"894";"Metolachlor";"CH34";"L";"2";0.0124635686505322
"895";"Metolachlor";"CH85";"P";"B";0.00600501757050585
"896";"Metolachlor";"CH77";"I";"B";0.00231594724850777
"897";"Metolachlor";"CH23";"C";"2";0.0034385476935527
"898";"Metolachlor";"CH40";"R";"2";0.00185722215554458
"899";"Metolachlor";"CH66";"T";"3";0.145308948513911
"900";"Metolachlor";"CH71";"E";"B";0.0306982837144858
"901";"Metolachlor";"CH25";"D";"2";0.0174616430413636
"902";"Metolachlor";"CH88";"R";"B";0.00103294708604393
"903";"Metolachlor";"CH50";"F";"3";0.0803435187738631
"904";"Metolachlor";"CH51";"G";"3";0.0974987902145781
"905";"Metolachlor";"CH43";"A";"3";0.00102836004048368
"906";"Metolachlor";"CH49";"E";"3";0.0889521525979756
"907";"Metolachlor";"CH78";"K";"B";0.00369316067567623
"908";"Metolachlor";"CH32";"I";"2";0.00137317588320762
"909";"Metolachlor";"CH76";"H";"B";0.0171800860015647
"910";"Metolachlor";"CH38";"P";"2";0.0167280210800408
"911";"Metolachlor";"CH67";"A";"B";0.00103389830510363
"912";"Metolachlor";"CH54";"I";"3";0.00614686795646314
"913";"Metolachlor";"CH44";"B";"3";0.00167839032039285
"914";"Metolachlor";"CH65";"S";"3";0.025539568538788
"915";"Metolachlor";"CH57";"L";"3";0.00352251510262142
"916";"Metolachlor";"CH69";"C";"B";0.00227692632217569
"917";"Metolachlor";"CH58";"M";"3";0.00754649736580805
"918";"Metolachlor";"CH80";"L";"B";0.00347906023837143
"919";"Metolachlor";"CH37";"O";"2";0.00396709227466341
"920";"Metolachlor";"CH63";"R";"3";0.000693748409389066
"921";"Metolachlor";"CH28";"F";"2";0.0019424703902962
"922";"Metolachlor";"CH84";"O";"B";0.00292358215303916
"923";"Metolachlor";"CH41";"S";"2";0.0396426016690252
"924";"Metolachlor";"CH60";"N";"3";0.00976166251719145
"925";"Metolachlor";"CH90";"S";"B";0.0118962016215355
"926";"Metolachlor";"CH27";"E";"2";0.0481666265965016
"927";"Metolachlor";"CH21";"A";"2";0.00141613016159911
"928";"Metolachlor";"CH36";"N";"2";0.00318729199803889
"929";"Metolachlor";"CH93";"T";"B";0.0363182004388294
"930";"Metolachlor";"CH33";"K";"2";0.013435962386762
"931";"Metolachlor";"CH46";"C";"3";0.0100653005713299
"932";"Metolachlor";"CH83";"N";"B";0.00339798153874499
"933";"Metolachlor";"CH30";"H";"2";0.00659827054542137
"934";"Metolachlor";"CH61";"P";"3";0.0180729461696234
"935";"Metolachlor";"CH22";"B";"2";0.00134066226155229
"936";"Metolachlor";"CH68";"B";"B";0.00144746441371991
"937";"Metolachlor";"CH39";"Q";"2";0.00123772847265171
"938";"Metolachlor";"CH82";"M";"B";0.00149494784343228
"939";"Metolachlor";"CH42";"T";"2";0.0663048331432201
"940";"Metolachlor";"CH35";"M";"2";0.000614502266890645
"941";"Metolachlor";"CH72";"F";"B";0.0107484086871116
"942";"Metolachlor";"CH29";"G";"2";1.10648326848935
"943";"Metolachlor";"CH47";"D";"3";0.00149463886442332
"944";"Metolachlor";"CH62";"Q";"3";0.000299143230034479
"945";"Metolachlor";"CH74";"G";"B";0.455792099851122
"946";"Metolachlor";"CH53";"H";"3";0.0212031020112566
"947";"Metolachlor";"CH70";"D";"B";0.00105790793839918
"951";"Metribuzin";"RO4";"D";"1";0.0358294111638314
"952";"Metribuzin";"CH88";"R";"B";0.00605989392474017
"953";"Metribuzin";"CH32";"I";"2";0.171899509602844
"954";"Metribuzin";"RO7";"F";"1";0.839170475464428
"955";"Metribuzin";"CH54";"I";"3";0.154040408177287
"956";"Metribuzin";"CH93";"T";"B";0.0455389490146193
"957";"Metribuzin";"RO11";"K";"1";0.0376254164780658
"958";"Metribuzin";"CH85";"P";"B";0.0367362003231022
"959";"Metribuzin";"CH62";"Q";"3";0.011666466006047
"960";"Metribuzin";"CH82";"M";"B";0.0204569706580646
"961";"Metribuzin";"RO10";"I";"1";0.450106744740237
"962";"Metribuzin";"CH56";"K";"3";0.0548208978949512
"963";"Metribuzin";"CH40";"R";"2";0.0187783864761453
"964";"Metribuzin";"CH57";"L";"3";0.0286590798774999
"965";"Metribuzin";"CH77";"I";"B";0.063674584531859
"966";"Metribuzin";"CH33";"K";"2";0.0595157250957485
"967";"Metribuzin";"CH80";"L";"B";0.0036181854424069
"968";"Metribuzin";"CH71";"E";"B";0.0286514368465159
"969";"Metribuzin";"CH69";"C";"B";0.0618305634392174
"970";"Metribuzin";"CH51";"G";"3";0.0506988495795353
"971";"Metribuzin";"CH66";"T";"3";0.0172329542327578
"972";"Metribuzin";"CH27";"E";"2";0.0365259829087086
"973";"Metribuzin";"CH21";"A";"2";0.136366687388188
"974";"Metribuzin";"CH37";"O";"2";0.00502493187695124
"975";"Metribuzin";"CH49";"E";"3";0.0364430526265398
"976";"Metribuzin";"CH25";"D";"2";0.0526374551479805
"977";"Metribuzin";"CH74";"G";"B";0.0197507878978426
"978";"Metribuzin";"RO2";"B";"1";0.0506698819962842
"979";"Metribuzin";"CH22";"B";"2";0.0435710754627113
"980";"Metribuzin";"CH60";"N";"3";0.182215826610747
"981";"Metribuzin";"CH34";"L";"2";0.0032404945274032
"982";"Metribuzin";"CH29";"G";"2";0.060276373476018
"983";"Metribuzin";"RO3";"C";"1";0.147433275496276
"984";"Metribuzin";"CH53";"H";"3";0.0530857391593587
"985";"Metribuzin";"CH42";"T";"2";0.04832166181221
"986";"Metribuzin";"CH90";"S";"B";0.023369186882015
"987";"Metribuzin";"CH44";"B";"3";0.0814570392671198
"988";"Metribuzin";"CH38";"P";"2";0.056671925027577
"989";"Metribuzin";"CH30";"H";"2";0.180582389592606
"990";"Metribuzin";"CH61";"P";"3";0.0300730731873478
"991";"Metribuzin";"CH63";"R";"3";0.00868461300697796
"992";"Metribuzin";"CH28";"F";"2";0.194245041624044
"993";"Metribuzin";"CH78";"K";"B";0.0110322218515808
"994";"Metribuzin";"CH84";"O";"B";0.0130687907479485
"995";"Metribuzin";"CH43";"A";"3";0.052200977657678
"996";"Metribuzin";"CH70";"D";"B";0.103472407690993
"997";"Metribuzin";"RO1";"A";"1";0.00719706245123692
"998";"Metribuzin";"CH36";"N";"2";0.42092058319576
"999";"Metribuzin";"CH41";"S";"2";0.0426021445193438
"1000";"Metribuzin";"CH58";"M";"3";0.0682458831066657
"1001";"Metribuzin";"CH46";"C";"3";0.214724204197274
"1002";"Metribuzin";"CH67";"A";"B";0.0140805654611778
"1003";"Metribuzin";"CH39";"Q";"2";0.0214537395856132
"1004";"Metribuzin";"CH68";"B";"B";0.0171662435454159
"1005";"Metribuzin";"CH47";"D";"3";0.155440843514785
"1006";"Metribuzin";"CH23";"C";"2";0.496674004033551
"1007";"Metribuzin";"CH83";"N";"B";0.0776379313590679
"1008";"Metribuzin";"CH72";"F";"B";0.0239533501924019
"1009";"Metribuzin";"CH76";"H";"B";0.0336626629425631
"1010";"Metribuzin";"CH65";"S";"3";0.0208320612996414
"1011";"Metribuzin";"CH50";"F";"3";0.105078503434382
"1012";"Metribuzin";"RO6";"E";"1";0.0549263002185099
"1013";"Metribuzin";"RO14";"N";"1";0.0138418228543519
"1014";"Metribuzin";"CH35";"M";"2";0.129146565088151
"1015";"Metribuzin";"CH87";"Q";"B";0.0118237059696715
"1019";"Myclobutanil";"CH76";"H";"B";0.00106398334537121
"1050";"Nicosulfuron";"CH77";"I";"B";0.0876098549586283
"1051";"Nicosulfuron";"CH49";"E";"3";0.099801850920101
"1052";"Nicosulfuron";"CH30";"H";"2";0.190488524718798
"1053";"Nicosulfuron";"CH54";"I";"3";0.0165029455257678
"1054";"Nicosulfuron";"CH72";"F";"B";0.113176669358649
"1055";"Nicosulfuron";"CH84";"O";"B";0.0145066359655408
"1056";"Nicosulfuron";"CH90";"S";"B";0.126427726395792
"1057";"Nicosulfuron";"CH65";"S";"3";0.218889980547157
"1058";"Nicosulfuron";"CH71";"E";"B";0.0647639081404421
"1059";"Nicosulfuron";"CH25";"D";"2";0.0963011141909508
"1060";"Nicosulfuron";"CH66";"T";"3";0.0406389777750133
"1061";"Nicosulfuron";"CH85";"P";"B";0.217976755554562
"1062";"Nicosulfuron";"CH32";"I";"2";0.0287685958617779
"1063";"Nicosulfuron";"CH87";"Q";"B";0.0140313535054377
"1064";"Nicosulfuron";"CH61";"P";"3";0.136308818606379
"1065";"Nicosulfuron";"CH93";"T";"B";0.0834467323286158
"1066";"Nicosulfuron";"CH29";"G";"2";0.0338687482897583
"1067";"Nicosulfuron";"CH27";"E";"2";0.00774033629134975
"1068";"Nicosulfuron";"CH53";"H";"3";0.0524979769564239
"1069";"Nicosulfuron";"CH51";"G";"3";0.105845864743704
"1070";"Nicosulfuron";"CH50";"F";"3";0.350556897676191
"1071";"Nicosulfuron";"CH74";"G";"B";0.286470922143892
"1072";"Nicosulfuron";"CH76";"H";"B";0.0358507174360345
"1090";"Pencycuron";"CH50";"F";"3";0.000909625527293805
"1091";"Pencycuron";"CH49";"E";"3";0.0443119569270806
"1092";"Pencycuron";"CH47";"D";"3";0.000372280889486728
"1093";"Pencycuron";"CH28";"F";"2";0.000372173569000516
"1094";"Pencycuron";"CH66";"T";"3";0.00342882828556156
"1095";"Pencycuron";"RO6";"E";"1";0.0111816236475032
"1096";"Pencycuron";"CH53";"H";"3";0.00352081021688763
"1097";"Pencycuron";"CH29";"G";"2";0.00039371438546158
"1098";"Pencycuron";"CH85";"P";"B";0.000527899296867091
"1099";"Pencycuron";"CH27";"E";"2";0.0524878472060182
"1100";"Pencycuron";"CH39";"Q";"2";0.000181347232475062
"1101";"Pencycuron";"CH30";"H";"2";0.00570893272681893
"1102";"Pencycuron";"CH76";"H";"B";0.00223261179918838
"1103";"Pencycuron";"CH36";"N";"2";0.00245725589929928
"1104";"Pencycuron";"CH42";"T";"2";0.00206438013618016
"1105";"Pencycuron";"CH93";"T";"B";0.00577407193324154
"1106";"Pencycuron";"CH65";"S";"3";0.000935489926799895
"1107";"Pencycuron";"CH60";"N";"3";0.000935157826999804
"1108";"Pencycuron";"CH41";"S";"2";0.00217229749585932
"1109";"Pencycuron";"CH71";"E";"B";0.0294086588636969
"1162";"Picoxystrobin";"CH84";"O";"B";0.0502885708016303
"1163";"Picoxystrobin";"CH74";"G";"B";0.0241903484736739
"1164";"Picoxystrobin";"CH37";"O";"2";0.767172787879007
"1165";"Picoxystrobin";"CH82";"M";"B";0.000659349111184678
"1166";"Picoxystrobin";"CH39";"Q";"2";0.00109822657927633
"1167";"Picoxystrobin";"CH41";"S";"2";0.00172746189901331
"1168";"Picoxystrobin";"CH42";"T";"2";0.00277816589673554
"1169";"Picoxystrobin";"CH25";"D";"2";0.000127241930807931
"1170";"Picoxystrobin";"CH30";"H";"2";0.000349221319413345
"1171";"Picoxystrobin";"CH49";"E";"3";0.00027106082352603
"1172";"Picoxystrobin";"CH40";"R";"2";0.000259391410379321
"1173";"Picoxystrobin";"CH32";"I";"2";0.00025571525587697
"1174";"Picoxystrobin";"CH85";"P";"B";0.00177606802856152
"1175";"Picoxystrobin";"CH38";"P";"2";0.0107046914309769
"1176";"Picoxystrobin";"CH61";"P";"3";0.0157508965590101
"1186";"Prochloraz";"CH74";"G";"B";0.00936915273916089
"1187";"Prochloraz";"CH36";"N";"2";0.000287987724996258
"1188";"Prochloraz";"CH85";"P";"B";0.000469174954446339
"1189";"Prochloraz";"CH60";"N";"3";0.000284958654687117
"1190";"Prochloraz";"CH51";"G";"3";0.0146457968415704
"1191";"Prochloraz";"CH29";"G";"2";0.0142466199894612
"1192";"Prochloraz";"CH83";"N";"B";0.00014653445652308
"1193";"Prochloraz";"CH61";"P";"3";0.000137170387584212
"1275";"Propamocarb";"CH69";"C";"B";0.0474242016203155
"1276";"Propamocarb";"CH33";"K";"2";0.0215266513858208
"1277";"Propamocarb";"CH46";"C";"3";0.0148858055090444
"1278";"Propiconazol";"CH85";"P";"B";0.000319823026832365
"1279";"Propiconazol";"CH39";"Q";"2";0.000197761652754026
"1280";"Propiconazol";"CH43";"A";"3";0.000199518320244306
