casnr;subst_name;variable_id;cas;ec50f_al4896_fin;ec50f_al4896_tax;ec50f_al4896_n;ec50f_al4896_src;ec50f_da48_fin;ec50f_da48_tax;ec50f_da48_n;ec50f_da48_src;ec50f_fi96_fin;ec50f_fi96_tax;ec50f_fi96_n;ec50f_fi96_src;ec50f_ma4896_fin;ec50f_ma4896_tax;ec50f_ma4896_n;ec50f_ma4896_src
134623;diethyltoluamide;NA;134-62-3;NA;NA;NA;NA;75000;Daphnia magna;1;epa;71250;Oncorhynchus mykiss;3;epa;75000;Daphnia magna;6;epa
135158542;acibenzolar-S-methyl;NA;NA;500;Scenedesmus subspicatus;1;ppdb;2400;Daphnia magna;1;ppdb;400;Oncorhynchus mykiss;1;ppdb;880;Americamysis bahia;2;ppdb
135193;2-naphthol;NA;NA;18800;Pseudokirchneriella subcapitata;1;malaj;3540;Daphnia magna;1;malaj;3500;Pimephales promelas;1;malaj;3540;Daphnia magna;1;malaj
135319732;Epoxiconazol;NA;NA;1190;Pseudokirchneriella subcapitata;1;ppdb;8690;Daphnia magna;1;ppdb;3140;Oncorhynchus mykiss;1;ppdb;62.5;Chironomus riparius;2;ppdb
135410207;Acetamiprid;728;NA;NA;NA;NA;NA;49800;Daphnia magna;1;ppdb;1.00E+05;Cyprinodon variegatus;3;epa;3.35;Cheumatopsyche brevilineata;23;epa
13593038;Quinalphos;1002;NA;NA;NA;NA;NA;0.21;Daphnia magna;1;epa;70;Nuria danrica;8;epa;0.21;Daphnia magna;5;epa
136426545;Fluquinconazole;NA;NA;46;Pseudokirchneriella subcapitata;1;malaj;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13684565;Desmedipham;891;NA;10;Pseudokirchneriella subcapitata;1;malaj;450;Daphnia magna;1;malaj;250;Lepomis macrochirus;1;ppdb;450;Daphnia magna;1;malaj
13684634;Phenmedipham;510;NA;86;Pseudokirchneriella subcapitata;1;ppdb;2030;Daphnia magna;1;ppdb;26.16;Aphanius fasciatus;6;epa;2030;Daphnia magna;1;ppdb
137268;Thiram;941;NA;65;Pseudokirchneriella subcapitata;1;malaj;11;Daphnia magna;1;malaj;7;Rasbora heteromorpha;9;epa;3.36;Americamysis bahia;30;epa
137304;Ziram;NA;NA;66;Pseudokirchneriella subcapitata;1;malaj;48;Daphnia magna;1;malaj;8;Pimephales promelas;1;malaj;48;Daphnia magna;1;malaj
138261413;Imidacloprid;365;NA;NA;NA;NA;NA;85000;Daphnia magna;1;ppdb;1000;Pimephales promelas;9;epa;0.65;Epeorus longimanus;152;epa
139402;Propazin;527;NA;29;Pseudokirchneriella subcapitata;1;malaj;11000;Daphnia magna;1;malaj;4500;Lepomis macrochirus;1;epa;5320;Daphnia magna;2;epa
139968493;Metaflumizone;915;NA;NA;NA;NA;NA;331;Daphnia magna;2;epa;257;Cyprinodon variegatus;2;epa;289;Americamysis bahia;3;epa
140669;Para-tert-octylphenol;NA;NA;1900;Pseudokirchneriella subcapitata;1;malaj;90;Daphnia magna;1;malaj;48;Pimephales promelas;1;malaj;90;Daphnia magna;1;malaj
141112290;Isoxaflutole;909;NA;NA;NA;NA;NA;1500;Daphnia magna;1;epa;1700;Oncorhynchus mykiss;4;epa;17.8;Americamysis bahia;2;epa
141517217;Trifloxystrobin;613;NA;5.3;Scenedesmus subspicatus;1;ppdb;11;Daphnia magna;1;ppdb;14;Oncorhynchus mykiss;4;epa;8.62;Americamysis bahia;5;epa
141776321;Sulfosulfuron;828;NA;NA;NA;NA;NA;96000;Daphnia magna;1;epa;95000;Oncorhynchus mykiss;2;epa;96000;Daphnia magna;2;epa
142459583;Flufenacet;317;NA;2.04;Pseudokirchneriella subcapitata;1;ppdb;30900;Daphnia magna;1;ppdb;2130;Lepomis macrochirus;1;ppdb;2720;Americamysis bahia;2;epa
142891201;cinidon-ethyl;NA;NA;21;Pseudokirchneriella subcapitata;1;ppdb;59200;Daphnia magna;1;ppdb;2.00E+05;Oncorhynchus mykiss;1;ppdb;59200;Daphnia magna;1;ppdb
143390890;Kresoxim-methyl;384;NA;55.1;Pseudokirchneriella subcapitata;2;epa;186;Daphnia magna;1;ppdb;190;Oncorhynchus mykiss;1;ppdb;59;Americamysis bahia;2;epa
143500;Chlordecone;NA;NA;NA;NA;NA;NA;531;Daphnia magna;1;malaj;380;Pimephales promelas;1;malaj;531;Daphnia magna;1;malaj
144550367;Iodosulfuron-methyl-sodium;1223;NA;41;Pseudokirchneriella subcapitata;4;epa;86900;Daphnia magna;1;epa;88100;Oncorhynchus mykiss;3;epa;86900;Daphnia magna;2;epa
144740534;Flupyrsulfuron-methyl;902;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
145701231;florasulam;NA;NA;21570;Pseudokirchneriella subcapitata;1;epa;5500;Daphnia magna;2;epa;5720;Oncorhynchus mykiss;4;epa;5500;Daphnia magna;3;epa
14816183;Phoxim;515;NA;232.9;Microcystis flosaquae;7;epa;NA;NA;NA;NA;165;Esox lucius;47;epa;6.6;Procambarus sp.;1;epa
148477718;Spirodiclofen;740;NA;NA;NA;NA;NA;NA;NA;NA;NA;35.1;Oncorhynchus mykiss;5;epa;32;Chironomus riparius;1;ppdb
148798;thiabendazole;NA;NA;9000;Pseudokirchneriella subcapitata;1;ppdb;810;Daphnia magna;1;ppdb;550;Oncorhynchus mykiss;1;ppdb;340;Americamysis bahia;6;epa
149877418;Bifenazate;879;NA;300;Skeletonema costatum;1;ppdb;500;Daphnia magna;1;ppdb;416;Cyprinodon variegatus;3;epa;58;Americamysis bahia;2;ppdb
149961524;dimoxystrobin;NA;NA;17;Pseudokirchneriella subcapitata;1;ppdb;39.4;Daphnia magna;1;ppdb;39;Cyprinus carpio;1;epa;39.4;Daphnia magna;1;ppdb
149979419;Tepraloxydim;940;NA;NA;NA;NA;NA;7400;Daphnia magna;1;epa;4450;Oncorhynchus mykiss;5;epa;1140;Americamysis bahia;3;epa
150114719;aminopyralid;NA;NA;30000;Pseudokirchneriella subcapitata;1;ppdb;98600;Daphnia magna;1;epa;1.00E+05;Lepomis macrochirus;3;epa;98600;Daphnia magna;2;epa
150685;Monuron;766;NA;NA;NA;NA;NA;NA;NA;NA;NA;3300;Lepomis gibbosus;7;epa;NA;NA;NA;NA
15165670;Dichlorprop-P;NA;NA;194000;Pseudokirchneriella subcapitata;1;malaj;1.00E+05;Daphnia magna;1;malaj;71895;Pimephales promelas;1;malaj;1.00E+05;Daphnia magna;1;malaj
15299997;Napropamid;452;NA;3400;Pseudokirchneriella subcapitata;1;ppdb;14300;Daphnia magna;1;ppdb;6600;Oncorhynchus mykiss;1;ppdb;4200;Americamysis bahia;4;epa
15302917;mepiquat;NA;15302-91-7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
153719234;Thiamethoxam;589;NA;97000;Pseudokirchneriella subcapitata;1;epa;106000;Daphnia magna;1;epa;1.00E+05;Oncorhynchus mykiss;3;epa;20;Cloeon dipterum;22;epa
15545489;Chlortoluron;NA;NA;8.5;Pseudokirchneriella subcapitata;7;epa;67000;Daphnia magna;1;ppdb;20000;Oncorhynchus mykiss;1;ppdb;67000;Daphnia magna;1;ppdb
156052685;Zoxamid;721;NA;10;Scenedesmus subspicatus;5;epa;780;Daphnia magna;1;epa;156;Oncorhynchus mykiss;4;epa;75;Americamysis bahia;2;epa
1563662;Carbofuran;192;NA;2600;Pseudokirchneriella subcapitata;11;epa;9.4;Daphnia magna;1;malaj;36;Menidia menidia;85;epa;0.119;Brachythemis contaminata;65;epa
156605;Trans 1,2-dichloroethene;NA;NA;NA;NA;NA;NA;220000;Daphnia magna;1;malaj;NA;NA;NA;NA;220000;Daphnia magna;1;malaj
1570645;4-chloro-2-methylphenol;NA;NA;29706;Pseudokirchneriella subcapitata;1;malaj;290;Daphnia magna;1;malaj;5471;Pimephales promelas;1;malaj;290;Daphnia magna;1;malaj
158062670;Flonicamid;899;NA;96700;Pseudokirchneriella subcapitata;2;epa;98600;Daphnia magna;1;epa;97900;Oncorhynchus mykiss;3;epa;98600;Daphnia magna;2;epa
1582098;Trifluralin;614;NA;12.2;Pseudokirchneriella subcapitata;1;malaj;245;Daphnia magna;1;malaj;5;Clupea pallasii;66;epa;37;Palaemonetes kadiakensis;46;epa
15972608;Alachlor;120;NA;5;Pseudokirchneriella subcapitata;1;malaj;10000;Daphnia magna;1;malaj;381.9;Oreochromis niloticus;24;epa;2500;Chironomus plumosus;21;epa
160430648;NA;NA;160430-64-8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1610180;Prometon;1232;NA;98;Pseudokirchneriella subcapitata;1;malaj;41167;Daphnia magna;1;malaj;12000;Oncorhynchus mykiss;1;ppdb;17700;Americamysis bahia;4;epa
161050584;Methoxyfenozid;738;NA;NA;NA;NA;NA;3700;Daphnia magna;1;ppdb;2800;Cyprinodon variegatus;3;epa;1300;Americamysis bahia;2;epa
16118493;carbetamide;NA;NA;158000;Scenedesmus subspicatus;1;ppdb;81000;Daphnia magna;1;ppdb;165000;Rasbora heteromorpha;1;epa;81000;Daphnia magna;1;ppdb
161326347;Fenamidon;708;NA;3840;Pseudokirchneriella subcapitata;1;ppdb;190;Daphnia magna;1;ppdb;740;Oncorhynchus mykiss;1;ppdb;48.7;Daphnia magna;3;epa
1634044;MTBE;NA;NA;NA;NA;NA;NA;136000;Daphnia magna;1;malaj;672000;Pimephales promelas;1;malaj;136000;Daphnia magna;1;malaj
163515148;Dimethenamid-P;894;NA;19;Pseudokirchneriella subcapitata;1;ppdb;3200;Daphnia magna;1;ppdb;2600;Oncorhynchus mykiss;1;ppdb;3200;Daphnia magna;1;ppdb
16484778;mecoprop-P;NA;NA;10000;Pseudokirchneriella subcapitata;1;malaj;2.00E+05;Daphnia magna;1;malaj;97000;Lepomis macrochirus;1;epa;90940;Daphnia magna;1;epa
165252700;Dinotefuran;818;NA;98700;Pseudokirchneriella subcapitata;3;epa;110600;Daphnia magna;2;epa;99100;Cyprinus carpio;4;epa;10.4;Cheumatopsyche brevilineata;8;epa
16672870;2-chloroethylphosphonic acid;NA;NA;1400;Pseudokirchneriella subcapitata;1;malaj;31700;Daphnia magna;1;malaj;130000;Pimephales promelas;1;malaj;31700;Daphnia magna;1;malaj
1668548;NA;NA;1668-54-8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16752775;Methomyl;737;NA;50000;Pseudokirchneriella subcapitata;4;epa;7.6;Daphnia magna;1;malaj;100;Carassius auratus;94;epa;2.11;Ceriodaphnia reticulata;55;epa
168316958;Spinosad;937;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;160;Aedes aegypti;19;epa
1689834;ioxynil;NA;NA;24000;Unknown species;1;ppdb;3900;Daphnia magna;1;malaj;6.8003;Pimephales promelas;1;epa;3900;Daphnia magna;1;malaj
1689845;Bromoxynil;186;NA;120;Navicula pelliculosa;1;ppdb;12500;Daphnia magna;1;malaj;2090;Oncorhynchus mykiss;7;epa;1900;Chironomus riparius;3;epa
1689992;Bromoxynil-Oktanoat;674;NA;43;Navicula pelliculosa;1;ppdb;46;Daphnia magna;1;malaj;41;Oncorhynchus mykiss;1;ppdb;32;Daphnia pulex;47;epa
1698608;Chloridazon;208;NA;3000;Pseudokirchneriella subcapitata;1;malaj;132000;Daphnia magna;1;malaj;41300;Oncorhynchus mykiss;1;ppdb;132000;Daphnia magna;1;malaj
1702176;Clopyralid;227;NA;6900;Pseudokirchneriella subcapitata;1;epa;225000;Daphnia magna;1;malaj;7.00E+05;Oncorhynchus mykiss;2;epa;225000;Daphnia magna;1;malaj
17040196;Demeton-S-methylsulfon;NA;NA;NA;NA;NA;NA;259;Daphnia magna;1;malaj;NA;NA;NA;NA;259;Daphnia magna;1;malaj
171262172;NA;NA;171262-17-2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1715408;Bromocyclen;185;NA;1.00E+05;Scenedesmus subspicatus;1;epa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
173159574;Foramsulfuron;822;NA;6800;Anabaena flosaquae;4;epa;1.00E+05;Daphnia magna;1;ppdb;93600;Cyprinodon variegatus;3;epa;92700;Palaemonetes pugio;1;epa
173584446;Indoxacarb;714;NA;110;Pseudokirchneriella subcapitata;1;ppdb;600;Daphnia magna;1;ppdb;290;Ictalurus punctatus;11;epa;48.5;Baetis rhodani;8;epa
1746812;Monolinuron;435;NA;43.1;Chlamydomonas reinhardtii;1;epa;32500;Daphnia magna;1;ppdb;12900;Cyprinus carpio;6;epa;1300;Daphnia magna;2;epa
175013180;Pyraclostrobin;534;NA;152;Pseudokirchneriella subcapitata;1;epa;16;Daphnia magna;1;ppdb;6;Oncorhynchus mykiss;1;ppdb;4.16;Americamysis bahia;7;epa
175217206;silthiofam;NA;NA;8600;Pseudokirchneriella subcapitata;1;ppdb;14000;Daphnia magna;1;ppdb;11000;Lepomis macrochirus;1;ppdb;14000;Daphnia magna;1;ppdb
178928706;Prothioconazol;929;NA;21;Skeletonema costatum;4;epa;1300;Daphnia magna;1;ppdb;1690;Oncorhynchus mykiss;6;epa;1200;Daphnia magna;2;epa
1806264;4-octylphenol;NA;NA;189;Pseudokirchneriella subcapitata;1;malaj;270;Daphnia magna;1;malaj;286.8;Pimephales promelas;1;malaj;270;Daphnia magna;1;malaj
18181709;Iodofenphos;NA;NA;NA;NA;NA;NA;1.6;Daphnia magna;1;malaj;NA;NA;NA;NA;1.6;Daphnia magna;1;malaj
1825214;Pentachloroanisole;NA;NA;326;Pseudokirchneriella subcapitata;1;malaj;27;Daphnia magna;1;malaj;650;Pimephales promelas;1;malaj;27;Daphnia magna;1;malaj
1836755;Nitrofen;1214;NA;123;Pseudokirchneriella subcapitata;1;malaj;217;Daphnia magna;1;malaj;666;Pimephales promelas;1;malaj;85;Spicodiaptomus chelospinus;14;epa
1861401;Benfluralin;NA;NA;NA;NA;NA;NA;1143;Daphnia magna;1;malaj;100;Pimephales promelas;1;malaj;1143;Daphnia magna;1;malaj
18691979;methabenzthiazuron;NA;NA;20.9;Pseudokirchneriella subcapitata;4;epa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
187022113;Acetochlorsulfonsäure;117;NA;81270;Scenedesmus acutus;1;epa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
188425856;Boscalid;180;NA;1340;Pseudokirchneriella subcapitata;4;epa;5330;Daphnia magna;1;ppdb;2700;Oncorhynchus mykiss;1;ppdb;3810;Americamysis bahia;2;epa
189278124;proquinazid;NA;NA;684;Pseudokirchneriella subcapitata;1;ppdb;287;Daphnia magna;1;ppdb;349;Oncorhynchus mykiss;1;ppdb;110;Americamysis bahia;2;ppdb
1897456;Chlorthalonil;884;NA;0.95;Skeletonema costatum;18;epa;54;Daphnia magna;1;ppdb;16.3;Galaxias maculatus;43;epa;0.97;Dreissena polymorpha;52;epa
19044883;Oryzalin;NA;NA;18100;Anabaena flos;1;ppdb;1020;Daphnia magna;1;ppdb;2860;Oncorhynchus mykiss;1;ppdb;190;Gammarus fasciatus;4;epa
1910425;paraquat dichloride;NA;1910-42-5;0.55;Navicula pelliculosa;59;epa;3135;Daphnia similis;19;epa;6100;Rhamdia sapo;27;epa;0.017;Daphnia similis;35;epa
1912249;Atrazin;142;NA;11;Scenedesmus acutus;189;epa;54000;Daphnia magna;1;malaj;1250;Barbodes carnaticus;80;epa;48;Neomysis integer;122;epa
1918009;Dicamba;647;NA;1800;Skeletonema costatum;1;ppdb;110300;Daphnia magna;1;malaj;50000;Lepomis macrochirus;8;epa;3900;Gammarus lacustris;14;epa
1918021;Picloram;923;NA;22700;Pseudokirchneriella subcapitata;3;epa;44200;Daphnia magna;1;ppdb;2700;Salvelinus namaycush;85;epa;2370;Americamysis bahia;12;epa
1918134;Chlorthiamid;NA;NA;NA;NA;NA;NA;6343;Daphnia magna;1;malaj;NA;NA;NA;NA;6343;Daphnia magna;1;malaj
1918167;Propachlor;767;NA;NA;NA;NA;NA;7350;Daphnia magna;6;epa;230;Ictalurus punctatus;6;epa;790;Chironomus plumosus;10;epa
19666309;Oxadiazon;717;NA;56;Pseudokirchneriella subcapitata;1;epa;1980;Daphnia magna;4;epa;1200;Lepomis macrochirus;9;epa;270;Americamysis bahia;6;epa
1982474;Chloroxuron;212;NA;NA;NA;NA;NA;2950;Daphnia magna;1;ppdb;450;Ictalurus punctatus;10;epa;2950;Daphnia magna;1;ppdb
19937598;Metoxuron;426;NA;NA;NA;NA;NA;160000;Daphnia magna;1;epa;40000;Rasbora heteromorpha;3;epa;122000;Cyclops strenuus;2;epa
2008584;2,6-Dichlorobenzamid;76;NA;1.00E+05;Chlorella pyrenoidosa;1;epa;180000;Daphnia magna;1;malaj;235000;Oncorhynchus mykiss;4;epa;180000;Daphnia magna;1;malaj
2032657;methiocarb;NA;NA;2200;Scenedesmus subspicatus;1;ppdb;8;Daphnia magna;1;ppdb;51;Menidia menidia;16;epa;5.4;Pteronarcys californica;19;epa
205939588;NA;NA;205939-58-8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
206440;Fluoranthene;NA;NA;NA;NA;NA;NA;106;Daphnia magna;1;malaj;NA;NA;NA;NA;106;Daphnia magna;1;malaj
208465218;Mesosulfuron-methyl;914;NA;210;Pseudokirchneriella subcapitata;4;epa;90200;Daphnia magna;1;epa;91500;Oncorhynchus mykiss;3;epa;90200;Daphnia magna;2;epa
208968;Acenaphthylene;NA;NA;509;Pseudokirchneriella subcapitata;1;malaj;4204;Daphnia magna;1;malaj;NA;NA;NA;NA;4204;Daphnia magna;1;malaj
210631688;Topramezone;942;NA;17200;Pseudokirchneriella subcapitata;3;epa;99000;Daphnia magna;2;epa;94600;Oncorhynchus mykiss;4;epa;2700;Americamysis bahia;3;epa
21087649;Metribuzin;427;NA;15.6;Scenedesmus acutus;20;epa;49000;Daphnia magna;1;malaj;70385;Oncorhynchus mykiss;15;epa;14400;Pacifastacus leniusculus;10;epa
210880925;Clothianidin;NA;NA;55000;Pseudokirchneriella subcapitata;1;ppdb;30461;Ceriodaphnia dubia;7;epa;500;Pimephales promelas;5;epa;1.85;Chironomus dilutus;20;epa
2164081;Lenacil;NA;NA;7.7;Pseudokirchneriella subcapitata;1;malaj;8400;Daphnia magna;1;malaj;NA;NA;NA;NA;8400;Daphnia magna;1;malaj
2164172;Fluometuron;813;NA;320;Pseudokirchneriella subcapitata;1;ppdb;54000;Daphnia magna;1;ppdb;11500;Ictalurus punctatus;27;epa;220;Chironomus plumosus;10;epa
